time_stamp,ADA-USD,BNB-USD,BTC-USD,ETH-USD,XRP-USD,ADA-volume,BNB-volume,BTC-volume,ETH-volume,XRP-volume
2015-01-01,0.03205300122499466,1.9907699823379517,314.2489929199219,320.8840026855469,0.21748800575733185,18716200.0,19192200.0,8036550.0,893249984.0,147916992.0
2015-01-02,0.03205300122499466,1.9907699823379517,315.0320129394531,320.8840026855469,0.21748800575733185,18716200.0,19192200.0,7860650.0,893249984.0,147916992.0
2015-01-03,0.03205300122499466,1.9907699823379517,281.0820007324219,320.8840026855469,0.21748800575733185,18716200.0,19192200.0,33054400.0,893249984.0,147916992.0
2015-01-04,0.03205300122499466,1.9907699823379517,264.19500732421875,320.8840026855469,0.21748800575733185,18716200.0,19192200.0,55629100.0,893249984.0,147916992.0
2015-01-05,0.03205300122499466,1.9907699823379517,274.4739990234375,320.8840026855469,0.21748800575733185,18716200.0,19192200.0,43962800.0,893249984.0,147916992.0
2015-01-06,0.03205300122499466,1.9907699823379517,286.1889953613281,320.8840026855469,0.21748800575733185,18716200.0,19192200.0,23245700.0,893249984.0,147916992.0
2015-01-07,0.03205300122499466,1.9907699823379517,294.3370056152344,320.8840026855469,0.21748800575733185,18716200.0,19192200.0,24866800.0,893249984.0,147916992.0
2015-01-08,0.03205300122499466,1.9907699823379517,283.3489990234375,320.8840026855469,0.21748800575733185,18716200.0,19192200.0,19982500.0,893249984.0,147916992.0
2015-01-09,0.03205300122499466,1.9907699823379517,290.4079895019531,320.8840026855469,0.21748800575733185,18716200.0,19192200.0,18718600.0,893249984.0,147916992.0
2015-01-10,0.03205300122499466,1.9907699823379517,274.7959899902344,320.8840026855469,0.21748800575733185,18716200.0,19192200.0,15264300.0,893249984.0,147916992.0
2015-01-11,0.03205300122499466,1.9907699823379517,265.6600036621094,320.8840026855469,0.21748800575733185,18716200.0,19192200.0,18200800.0,893249984.0,147916992.0
2015-01-12,0.03205300122499466,1.9907699823379517,267.7959899902344,320.8840026855469,0.21748800575733185,18716200.0,19192200.0,18880300.0,893249984.0,147916992.0
2015-01-13,0.03205300122499466,1.9907699823379517,225.86099243164062,320.8840026855469,0.21748800575733185,18716200.0,19192200.0,72843904.0,893249984.0,147916992.0
2015-01-14,0.03205300122499466,1.9907699823379517,178.10299682617188,320.8840026855469,0.21748800575733185,18716200.0,19192200.0,97638704.0,893249984.0,147916992.0
2015-01-15,0.03205300122499466,1.9907699823379517,209.843994140625,320.8840026855469,0.21748800575733185,18716200.0,19192200.0,81773504.0,893249984.0,147916992.0
2015-01-16,0.03205300122499466,1.9907699823379517,208.0970001220703,320.8840026855469,0.21748800575733185,18716200.0,19192200.0,38421000.0,893249984.0,147916992.0
2015-01-17,0.03205300122499466,1.9907699823379517,199.25999450683594,320.8840026855469,0.21748800575733185,18716200.0,19192200.0,23469700.0,893249984.0,147916992.0
2015-01-18,0.03205300122499466,1.9907699823379517,210.33900451660156,320.8840026855469,0.21748800575733185,18716200.0,19192200.0,30085100.0,893249984.0,147916992.0
2015-01-19,0.03205300122499466,1.9907699823379517,214.86099243164062,320.8840026855469,0.21748800575733185,18716200.0,19192200.0,18658300.0,893249984.0,147916992.0
2015-01-20,0.03205300122499466,1.9907699823379517,211.31500244140625,320.8840026855469,0.21748800575733185,18716200.0,19192200.0,24051100.0,893249984.0,147916992.0
2015-01-21,0.03205300122499466,1.9907699823379517,226.89700317382812,320.8840026855469,0.21748800575733185,18716200.0,19192200.0,29924600.0,893249984.0,147916992.0
2015-01-22,0.03205300122499466,1.9907699823379517,233.406005859375,320.8840026855469,0.21748800575733185,18716200.0,19192200.0,33544600.0,893249984.0,147916992.0
2015-01-23,0.03205300122499466,1.9907699823379517,232.87899780273438,320.8840026855469,0.21748800575733185,18716200.0,19192200.0,24621700.0,893249984.0,147916992.0
2015-01-24,0.03205300122499466,1.9907699823379517,247.8470001220703,320.8840026855469,0.21748800575733185,18716200.0,19192200.0,24782500.0,893249984.0,147916992.0
2015-01-25,0.03205300122499466,1.9907699823379517,253.71800231933594,320.8840026855469,0.21748800575733185,18716200.0,19192200.0,33582700.0,893249984.0,147916992.0
2015-01-26,0.03205300122499466,1.9907699823379517,273.4729919433594,320.8840026855469,0.21748800575733185,18716200.0,19192200.0,106794000.0,893249984.0,147916992.0
2015-01-27,0.03205300122499466,1.9907699823379517,263.4750061035156,320.8840026855469,0.21748800575733185,18716200.0,19192200.0,44399000.0,893249984.0,147916992.0
2015-01-28,0.03205300122499466,1.9907699823379517,233.9149932861328,320.8840026855469,0.21748800575733185,18716200.0,19192200.0,44352200.0,893249984.0,147916992.0
2015-01-29,0.03205300122499466,1.9907699823379517,233.51300048828125,320.8840026855469,0.21748800575733185,18716200.0,19192200.0,32213400.0,893249984.0,147916992.0
2015-01-30,0.03205300122499466,1.9907699823379517,226.4250030517578,320.8840026855469,0.21748800575733185,18716200.0,19192200.0,26605200.0,893249984.0,147916992.0
2015-01-31,0.03205300122499466,1.9907699823379517,217.46400451660156,320.8840026855469,0.21748800575733185,18716200.0,19192200.0,23348200.0,893249984.0,147916992.0
2015-02-01,0.03205300122499466,1.9907699823379517,226.9720001220703,320.8840026855469,0.21748800575733185,18716200.0,19192200.0,29128500.0,893249984.0,147916992.0
2015-02-02,0.03205300122499466,1.9907699823379517,238.22900390625,320.8840026855469,0.21748800575733185,18716200.0,19192200.0,30612100.0,893249984.0,147916992.0
2015-02-03,0.03205300122499466,1.9907699823379517,227.26800537109375,320.8840026855469,0.21748800575733185,18716200.0,19192200.0,40783700.0,893249984.0,147916992.0
