,change,volume
2013-04-16,0.03839999999999999,0.00346495409429581
2013-04-17,0.03839999999999999,0.19721656673652435
2013-04-18,-0.004365690806368727,0.07515585419202905
2013-04-19,-0.004365690806368727,0.07515585419202905
2013-04-20,-0.004365690806368727,0.07515585419202905
2013-04-21,-0.005287593500128973,0.09125515949917523
2013-04-22,0.037598859069104096,0.02597760233378716
2013-04-23,0.006372610271148327,0.0029319352560358653
2013-04-24,0.006456419170598471,0.00297181687766121
2013-04-25,0.002590673575129543,0.0012151544509351202
2013-04-26,0.002590673575129543,0.0012151544509351202
2013-04-27,0.002590673575129543,0.0012151544509351202
2013-04-28,0.006644518272425293,0.0030308101960838064
2013-04-29,0.0019557511306687037,0.0009144979092058625
2013-04-30,0.0031718921556667112,0.0014614953622690808
2013-05-01,0.004134744010701796,0.001927949957410393
2013-05-02,0.003512171490856142,0.0016441479423826742
2013-05-03,0.003512171490856142,0.0016441479423826742
2013-05-04,0.003512171490856142,0.0016441479423826742
2013-05-05,0.0037412503017137944,0.00169833239951583
2013-05-06,0.03991823974990982,0.021873047413290866
2013-05-07,0.03988900450919175,0.02337955747917927
2013-05-08,0.035690460306871286,0.460923644843522
2013-05-09,0.014814814814814836,0.12125133391760874
2013-05-10,0.014814814814814836,0.12125133391760874
2013-05-11,0.014814814814814836,0.12125133391760874
2013-05-12,0.03829472125251243,0.16743263065623532
2013-05-13,0.02832399388690776,0.09853314955117819
2013-05-14,-0.03547012781135439,0.08824459453487096
2013-05-15,0.015511042629686722,0.11015231871374409
2013-05-16,-0.030548250050576597,0.014339073977702977
2013-05-17,-0.030548250050576597,0.014339073977702977
2013-05-18,-0.030548250050576597,0.014339073977702977
2013-05-19,-0.037249582637729595,0.15727938209731032
2013-05-20,0.001734041400238473,0.04005202806770224
2013-05-21,-0.032456994482310986,0.0560829277561254
2013-05-22,-0.0027954825002795003,0.02899870818343973
2013-05-23,0.011661807580174877,0.005577266834162053
2013-05-24,0.011661807580174877,0.005577266834162053
2013-05-25,0.011661807580174877,0.005577266834162053
2013-05-26,0.00875637330968737,0.004057236022404265
2013-05-27,0.03999560487858478,0.027600124012687008
2013-05-28,0.03127311146328582,0.08144312724462047
2013-05-29,0.038315746337465484,0.07293040822601683
2013-05-30,-0.019930932412432156,0.06393897609967972
2013-05-31,-0.019930932412432156,0.06393897609967972
2013-06-01,-0.019930932412432156,0.06393897609967972
2013-06-02,-0.011577569717104552,0.0522702160191228
2013-06-03,0.026991240578529307,0.08162564370153749
2013-06-04,0.017058415154219908,0.05904368153035697
2013-06-05,0.017058415154219908,0.05904368153035697
2013-06-06,0.017058415154219908,0.05904368153035697
2013-06-07,0.017058415154219908,0.05904368153035697
2013-06-08,0.017058415154219908,0.05904368153035697
2013-06-09,-0.028473915163334973,0.04650430223426403
2013-06-10,-0.019170932450065292,0.04579371687350747
2013-06-11,-0.01565697912402786,0.03134095527700344
2013-06-12,-0.017361472086495522,0.04051629479182973
2013-06-13,0.017562420651713984,0.008107806958111429
2013-06-14,0.017562420651713984,0.008107806958111429
2013-06-15,0.017562420651713984,0.008107806958111429
2013-06-16,0.03753379080889996,0.07376561066077474
2013-06-17,-0.006613889167251252,0.03059574759994324
2013-06-18,-0.011298295167961214,0.03118787608008466
2013-06-19,-0.004693398632792611,0.024427045276458625
2013-06-20,-0.03300871348026657,0.04655786299966021
2013-06-21,-0.03300871348026657,0.04655786299966021
2013-06-22,-0.03300871348026657,0.04655786299966021
2013-06-23,-0.004876497402735103,0.01903034462505196
2013-06-24,-0.0045808032385213915,0.011737014726280123
2013-06-25,-0.0045808032385213915,0.011737014726280123
2013-06-26,0.03542380136986312,0.022648910034216742
2013-06-27,0.024909560723514135,0.025341137291042013
2013-06-28,0.024909560723514135,0.025341137291042013
2013-06-29,0.024909560723514135,0.025341137291042013
2013-06-30,0.0017144009681322459,0.03556969662720651
2013-07-01,0.017114668277459,0.029331309126951182
2013-07-02,-0.022171632188458856,0.018771678377011148
2013-07-03,-0.005972264399230709,0.03832588693661248
2013-07-04,0.034521384928716925,0.032353617810667916
2013-07-05,0.034521384928716925,0.032353617810667916
2013-07-06,0.034521384928716925,0.032353617810667916
2013-07-07,0.03504281917511576,0.09074542762739617
2013-07-08,-0.010461245839277211,0.02195543412178438
2013-07-09,-0.021624219125420452,0.027608786397922747
2013-07-10,-0.12966601178781922,0.07764577515412444
2013-07-11,-0.12966601178781922,0.07764577515412444
2013-07-12,-0.12966601178781922,0.07764577515412444
2013-07-13,-0.12966601178781922,0.07764577515412444
2013-07-14,-0.12966601178781922,0.07764577515412444
2013-07-15,-0.12966601178781922,0.07764577515412444
2013-07-16,-0.12966601178781922,0.07764577515412444
2013-07-17,-0.12966601178781922,0.07764577515412444
2013-07-18,-0.12966601178781922,0.07764577515412444
2013-07-19,-0.12966601178781922,0.07764577515412444
2013-07-20,-0.12966601178781922,0.07764577515412444
2013-07-21,-0.12966601178781922,0.07764577515412444
2013-07-22,-0.12966601178781922,0.07764577515412444
2013-07-23,-0.12966601178781922,0.07764577515412444
2013-07-24,-0.12966601178781922,0.07764577515412444
2013-07-25,-0.12966601178781922,0.07764577515412444
2013-07-26,-0.12966601178781922,0.07764577515412444
2013-07-27,-0.12966601178781922,0.07764577515412444
2013-07-28,-0.12966601178781922,0.07764577515412444
2013-07-29,-0.12966601178781922,0.07764577515412444
2013-07-30,0.00033860045146716367,0.03869370913849245
2013-07-31,0.00033860045146716367,0.03869370913849245
2013-08-01,-0.029335439467448987,0.05067810673730203
