,change,volume
2017-07-01,0.033808326348141904,0.049796310470733046
2017-07-02,0.01864864864864857,0.060879551574454294
2017-07-03,0.010347572300344998,0.026494180052889803
2017-07-04,-0.028623949579831942,0.17431441505738923
2017-07-05,-0.028623949579831942,0.17431441505738923
2017-07-06,-0.028623949579831942,0.17431441505738923
2017-07-07,-0.028623949579831942,0.17431441505738923
2017-07-08,-0.028623949579831942,0.17431441505738923
2017-07-09,0.0013517166801837455,0.09885093970769247
2017-07-10,0.0035097192224622376,0.04081790426738657
2017-07-11,-0.009685230024213065,0.04402017673607161
2017-07-12,-0.016299918500407462,0.02702942210821378
2017-07-13,0.003866335266500931,0.035683748969959
2017-07-14,0.003866335266500931,0.035683748969959
2017-07-15,0.003866335266500931,0.035683748969959
2017-07-16,-0.0038514442916093294,0.028660274378786155
2017-07-17,-0.0046948356807511304,0.04789728551874416
2017-07-18,0.021087680355160954,0.0102709826677286
2017-07-19,0.03831521739130439,0.1654493133634674
2017-07-20,-0.008636482596178996,0.03287067684467844
2017-07-21,-0.008636482596178996,0.03287067684467844
2017-07-22,-0.008636482596178996,0.03287067684467844
2017-07-23,-0.012671594508975703,0.02614881894378993
2017-07-24,-0.011229946524064172,0.019152901181573385
2017-07-25,-0.007030827474310386,0.024842433896364948
2017-07-26,0.0062636165577341085,0.03109790302616563
2017-07-27,-0.014073071718538555,0.017062891975851358
2017-07-28,-0.014073071718538555,0.017062891975851358
2017-07-29,-0.014073071718538555,0.017062891975851358
2017-07-30,0.00027449903925336194,0.028528929067670676
2017-07-31,-0.006037321624588365,0.013584878825804983
2017-08-01,-0.001656543346217565,0.017069994517940813
2017-08-02,0.0011061946902655162,0.03922772784162021
2017-08-03,-0.001933701657458542,0.004527163775656209
2017-08-04,-0.001933701657458542,0.004527163775656209
2017-08-05,-0.001933701657458542,0.004527163775656209
2017-08-06,-0.001933701657458542,0.004527163775656209
2017-08-07,0.0005535566011625193,0.003796877639749411
2017-08-08,-0.004149377593360981,0.02766623741108893
2017-08-09,-0.004722222222222183,0.0090774970090023
2017-08-10,-0.008931063354730706,0.0056714057172015985
2017-08-11,-0.008931063354730706,0.0056714057172015985
2017-08-12,-0.008931063354730706,0.0056714057172015985
2017-08-13,-0.015488594762038899,0.011461468709164693
2017-08-14,-0.0008581235697940892,0.007080010481421336
2017-08-15,0.001145147437732641,0.00302486406906705
2017-08-16,0.004003431512725086,0.002912938694028693
2017-08-17,-0.0002848191398462374,0.0050545447649782615
2017-08-18,-0.0002848191398462374,0.0050545447649782615
2017-08-19,-0.0002848191398462374,0.0050545447649782615
2017-08-20,0.0019943019943020612,0.003875014222323359
2017-08-21,0.000852999715666769,0.0029211445436271924
2017-08-22,0.013068181818181923,0.0074990777038791605
2017-08-23,-0.0002804262478968145,0.0012169481824732707
2017-08-24,-0.0011220196353436407,0.0038403807100473386
2017-08-25,-0.0011220196353436407,0.0038403807100473386
2017-08-26,-0.0011220196353436407,0.0038403807100473386
2017-08-27,0.0008424599831506896,0.0027713877884545765
2017-08-28,-0.013748597081930436,0.027018768295079595
2017-08-29,0.002275960170696978,0.0019127473391325933
2017-08-30,0.003973885892704976,0.003747013312094664
2017-08-31,0.0050890585241729624,0.004518992404417367
2017-09-01,0.0050890585241729624,0.004518992404417367
2017-09-02,0.0050890585241729624,0.004518992404417367
2017-09-03,-0.0002812939521800173,0.0008280753834855553
2017-09-04,-0.0005627462014631268,0.004863931153611435
2017-09-05,-0.0019707207207206867,0.005167952709481893
2017-09-06,0.0005641748942171176,0.0015993649086151077
2017-09-07,-0.0014096419509445068,0.004267386574816317
2017-09-08,-0.0014096419509445068,0.004267386574816317
2017-09-09,-0.0014096419509445068,0.004267386574816317
2017-09-10,-0.0014096419509445068,0.004267386574816317
2017-09-11,-0.0036702428006776255,0.008862929557263383
2017-09-12,0.0019835647492207897,0.0051707540762040705
2017-09-13,0.0008484162895927572,0.022159681351000046
2017-09-14,0.0016953941791466587,0.005746620258794567
2017-09-15,0.0016953941791466587,0.005746620258794567
2017-09-16,0.0016953941791466587,0.005746620258794567
2017-09-17,0.0005641748942171176,0.0021138165130655745
2017-09-18,-0.0005638567803777361,0.007266348776190624
2017-09-19,0.012976022566995704,0.03398266428076418
2017-09-20,0.002227791701475912,0.004092012398418133
2017-09-21,-0.0019449847179772162,0.0020521950647675986
2017-09-22,-0.0019449847179772162,0.0020521950647675986
2017-09-23,-0.0019449847179772162,0.0020521950647675986
2017-09-24,0.0013919821826280376,0.007022948796188072
2017-09-25,0.0005560189046427411,0.0039431865589562715
2017-09-26,0.0027785495971102137,0.007514653302854463
2017-09-27,-0.00387919091160982,0.007873340297961984
2017-09-28,-0.0019471488178025576,0.005802173515792813
2017-09-29,-0.0019471488178025576,0.005802173515792813
2017-09-30,-0.0019471488178025576,0.005802173515792813
2017-10-01,-0.0019471488178025576,0.005802173515792813
2017-10-02,-0.0019471488178025576,0.005802173515792813
