,change,volume
2012-01-11,0.050000000000000044,0.12855598958154085
2012-01-12,0.050000000000000044,0.001810466816488989
2012-01-13,0.050000000000000044,0.001810466816488989
2012-01-14,0.050000000000000044,0.001810466816488989
2012-01-15,0.050000000000000044,0.001810466816488989
2012-01-16,0.049624060150375904,8.077361774876397e-05
2012-01-17,0.04871060171919761,0.15671459771696322
2012-01-18,-0.021402550091074724,0.01778227720604942
2012-01-19,-0.028850628199162398,0.01577241246307913
2012-01-20,-0.028850628199162398,0.01577241246307913
2012-01-21,-0.028850628199162398,0.01577241246307913
2012-01-22,-0.03402012458073789,0.012228778313753193
2012-01-23,-0.03402012458073789,0.012228778313753193
2012-01-24,-0.0004960317460317443,0.00772274822228884
2012-01-25,-0.0004960317460317443,0.00772274822228884
2012-01-26,0.04962779156327546,0.0034981924753408242
2012-01-27,0.04962779156327546,0.0034981924753408242
2012-01-28,0.04962779156327546,0.0034981924753408242
2012-01-29,-0.016075650118203333,0.009299366730059915
2012-01-30,-0.03027390677558861,0.0037562772120509876
2012-01-31,-0.01684836471754214,0.0051510291425263385
2012-02-01,0.006048387096774244,0.002346234748882444
2012-02-02,0.024048096192384794,0.004632223669860124
2012-02-03,0.024048096192384794,0.004632223669860124
2012-02-04,0.024048096192384794,0.004632223669860124
2012-02-05,-0.025440313111546042,0.0035274881111114244
2012-02-06,0.02108433734939763,0.0052801149375576294
2012-02-07,0.03539823008849563,0.029479122162918415
2012-02-08,0.04795821462488137,0.10314032322483788
2012-02-09,0.011327594019030274,0.09965092465142938
2012-02-10,0.011327594019030274,0.09965092465142938
2012-02-11,0.011327594019030274,0.09965092465142938
2012-02-12,0.011327594019030274,0.09965092465142938
2012-02-13,-0.026433691756272415,0.010227082128577815
2012-02-14,-0.03957662218131619,0.004983710501760633
2012-02-15,0.009583133684714973,0.00967034779691065
2012-02-16,0.03132415757000473,0.012866568536564482
2012-02-17,0.03132415757000473,0.012866568536564482
2012-02-18,0.03132415757000473,0.012866568536564482
2012-02-19,0.025310630464795203,0.016478508504899573
2012-02-20,0.04667863554757634,0.09552879940565556
2012-02-21,0.0497427101200687,0.041632186066701195
2012-02-22,0.023692810457516256,0.11562138447135971
2012-02-23,-0.04628890662410212,0.021642704615652486
2012-02-24,-0.04628890662410212,0.021642704615652486
2012-02-25,-0.04628890662410212,0.021642704615652486
2012-02-26,0.0472803347280335,0.06964922323768219
2012-02-27,-0.01797842588893328,0.02699176374435954
2012-02-28,-0.04068348250610254,0.019543220240989652
2012-02-29,0.017387616624257918,0.018562619836184416
2012-03-01,0.03793247186327631,0.024056611154071435
2012-03-02,0.03793247186327631,0.024056611154071435
2012-03-03,0.03793247186327631,0.024056611154071435
2012-03-04,-0.026104417670682722,0.007565404689048344
2012-03-05,-0.034226804123711374,0.009297998789759331
2012-03-06,-0.016225448334756587,0.008795934300771692
2012-03-07,0.01953125,0.0038349620066740983
2012-03-08,-0.02128565346956146,0.006323162902751426
2012-03-09,-0.02128565346956146,0.006323162902751426
2012-03-10,-0.02128565346956146,0.006323162902751426
2012-03-11,-0.010874293170943905,0.007928599352854802
2012-03-12,-0.012313104661389573,0.0055589185414871125
2012-03-13,0.045414069456812145,0.010784889099147344
2012-03-14,0.03364565587734236,0.01567214895304776
2012-03-15,-0.0053564070869386304,0.00604444615217436
2012-03-16,-0.0053564070869386304,0.00604444615217436
2012-03-17,-0.0053564070869386304,0.00604444615217436
2012-03-18,0.007042253521126751,0.015088151354056575
2012-03-19,0.04154668860551203,0.01180716174244275
2012-03-20,0.04154668860551203,0.01180716174244275
2012-03-21,0.04154668860551203,0.01180716174244275
2012-03-22,0.04154668860551203,0.01180716174244275
2012-03-23,0.04154668860551203,0.01180716174244275
2012-03-24,0.04154668860551203,0.01180716174244275
2012-03-25,-0.024881516587677677,0.007552728442262934
2012-03-26,-0.025516403402187082,0.0042579508609527465
2012-03-27,-0.0033250207813798616,0.004506842170309462
2012-03-28,0.002502085070892335,0.007366267322624295
2012-03-29,-0.017886855241264543,0.004594685650945053
2012-03-30,-0.017886855241264543,0.004594685650945053
2012-03-31,-0.017886855241264543,0.004594685650945053
2012-04-01,-0.017886855241264543,0.004594685650945053
2012-04-02,-0.017886855241264543,0.004594685650945053
2012-04-03,-0.017789072426937724,0.003282592055965938
2012-04-04,0.006899525657610983,0.004085169144319947
2012-04-05,-0.02012847965738762,0.00942341503065096
2012-04-06,-0.02012847965738762,0.00942341503065096
2012-04-07,-0.02012847965738762,0.00942341503065096
2012-04-08,-0.0004370629370629153,0.010354070415148211
2012-04-09,0.01792741582859647,0.00424924381237284
2012-04-10,-0.022336769759450203,0.008078894736546575
2012-04-11,-0.002196836555360293,0.0021159908542898783
2012-04-12,-0.004843681197710281,0.005443638086822667
2012-04-13,-0.004843681197710281,0.005443638086822667
2012-04-14,-0.004843681197710281,0.005443638086822667
2012-04-15,-0.0022123893805309214,0.010077451173032041
2012-04-16,-0.0203991130820399,0.0123208428673163
2012-04-17,-0.013128112267994596,0.006554514177587322
2012-04-18,0.04678899082568799,0.024339562005578876
2012-04-19,0.010955302366345343,0.008650350711448597
2012-04-20,0.010955302366345343,0.008650350711448597
2012-04-21,0.010955302366345343,0.008650350711448597
2012-04-22,-0.03554399653229301,0.0052173720757708476
2012-04-23,-0.008089887640449489,0.004477989486636194
2012-04-24,-0.011780697779791627,0.0070012183397437115
2012-04-25,-0.009628610729023435,0.0026453663799453665
2012-04-26,-0.009628610729023435,0.0026453663799453665
2012-04-27,-0.009628610729023435,0.0026453663799453665
