,change,volume
2014-03-19,0.050000000000000044,1.0
2014-03-20,0.050000000000000044,0.000588340584139011
2014-03-21,0.050000000000000044,0.000588340584139011
2014-03-22,0.050000000000000044,0.000588340584139011
2014-03-23,0.050000000000000044,0.000588340584139011
2014-03-24,0.050000000000000044,0.000588340584139011
2014-03-25,0.050000000000000044,0.000588340584139011
2014-03-26,0.0498412698412698,0.0006679899783954904
2014-03-27,0.04989416389476875,0.0013257317280448997
2014-03-28,0.04989416389476875,0.0013257317280448997
2014-03-29,0.04989416389476875,0.0013257317280448997
2014-03-30,0.04982718894009208,0.0012084787547299036
2014-03-31,0.04993141289437575,0.003287054190768472
2014-04-01,0.04990854455186833,0.003662027053518918
2014-04-02,0.04990854455186833,0.003662027053518918
2014-04-03,0.04990854455186833,0.003662027053518918
2014-04-04,0.04990854455186833,0.003662027053518918
2014-04-05,0.04990854455186833,0.003662027053518918
2014-04-06,0.04977600796416137,0.019604239878746006
2014-04-07,0.049786628733997196,0.03879320588561192
2014-04-08,0.04990966576332423,0.01061844851643853
2014-04-09,0.04990320499032053,0.03038267908955217
2014-04-10,-0.022741241548862923,0.6163019537315536
2014-04-11,-0.022741241548862923,0.6163019537315536
2014-04-12,-0.022741241548862923,0.6163019537315536
2014-04-13,-0.046331236897274586,0.2446778852348795
2014-04-14,-0.017146625632007084,0.07162822995942324
2014-04-15,0.03041825095057038,0.08617581127214914
2014-04-16,0.009333622747992099,0.04258835963661907
2014-04-17,-0.044731182795698876,0.00597109738775457
2014-04-18,-0.044731182795698876,0.00597109738775457
2014-04-19,-0.044731182795698876,0.00597109738775457
2014-04-20,0.011031067086897828,0.040747689510757384
2014-04-21,0.007348029392117539,0.05192979060823037
2014-04-22,-0.007073386383731228,0.03445126601223069
2014-04-23,-0.006678539626001734,0.029296577422510305
2014-04-24,0.03899596593455845,0.049104006987246374
2014-04-25,0.03899596593455845,0.049104006987246374
2014-04-26,0.03899596593455845,0.049104006987246374
2014-04-27,-0.021138912855910297,0.03899137173343976
2014-04-28,-0.010356985456148049,0.026966098117264005
2014-04-29,-0.028501447339122743,0.02198391469302193
2014-04-30,-0.027504011001604378,0.02074556365508794
2014-05-01,-0.026632099929295272,0.01631059754092648
2014-05-02,-0.026632099929295272,0.01631059754092648
2014-05-03,-0.026632099929295272,0.01631059754092648
2014-05-04,-0.015012106537530268,0.010404699745448838
2014-05-05,0.016470009832841637,0.011183725572088318
2014-05-06,-0.016444981862152375,0.010220783147178905
2014-05-07,-0.010818785345463433,0.010080717335901742
2014-05-08,-0.029331344767586365,0.018423407275339924
2014-05-09,-0.029331344767586365,0.018423407275339924
2014-05-10,-0.029331344767586365,0.018423407275339924
2014-05-11,-0.01075544174135723,0.015088150310028975
2014-05-12,0.03417033393735447,0.021019819091688055
2014-05-13,-0.03754693366708384,0.027779027330782642
2014-05-14,-0.03754693366708384,0.027779027330782642
2014-05-15,-0.04577373211963587,0.018355279617706974
2014-05-16,-0.04577373211963587,0.018355279617706974
2014-05-17,-0.04577373211963587,0.018355279617706974
2014-05-18,0.017443445080403297,0.01385705926975855
2014-05-19,-0.032145727297080096,0.016738395911538334
2014-05-20,0.033766952670910566,0.008984337357250547
2014-05-21,-0.06425702811244982,0.12392552285269776
2014-05-22,-0.06425702811244982,0.12392552285269776
2014-05-23,-0.06425702811244982,0.12392552285269776
2014-05-24,-0.06425702811244982,0.12392552285269776
2014-05-25,-0.06425702811244982,0.12392552285269776
2014-05-26,-0.06425702811244982,0.12392552285269776
2014-05-27,-0.06425702811244982,0.12392552285269776
2014-05-28,-0.06425702811244982,0.12392552285269776
2014-05-29,-0.06425702811244982,0.12392552285269776
2014-05-30,-0.06425702811244982,0.12392552285269776
2014-05-31,-0.06425702811244982,0.12392552285269776
2014-06-01,-0.06425702811244982,0.12392552285269776
2014-06-02,-0.06425702811244982,0.12392552285269776
2014-06-03,0.01659513590844064,0.017654509345993538
2014-06-04,0.01659513590844064,0.017654509345993538
2014-06-05,0.01659513590844064,0.017654509345993538
2014-06-06,0.01659513590844064,0.017654509345993538
2014-06-07,0.01659513590844064,0.017654509345993538
2014-06-08,0.01659513590844064,0.017654509345993538
2014-06-09,0.01659513590844064,0.017654509345993538
2014-06-10,-0.045595271601463594,0.009070745368116476
2014-06-11,-0.027130639929224376,0.007916094883356204
2014-06-12,-0.00848742043043349,0.03372764279207076
2014-06-13,-0.00848742043043349,0.03372764279207076
2014-06-14,-0.00848742043043349,0.03372764279207076
2014-06-15,0.04371751757872211,0.015979425327063396
2014-06-16,0.04920913884007039,0.02969829395068717
2014-06-17,0.043830262423227184,0.016361838684656887
2014-06-18,0.031826691628777715,0.09091664991218311
2014-06-19,0.044841886988076674,0.025332087234286843
2014-06-20,0.044841886988076674,0.025332087234286843
2014-06-21,0.044841886988076674,0.025332087234286843
2014-06-22,-0.004217315802530375,0.02907905826599368
2014-06-23,-0.04808171400099648,0.026759428846758394
2014-06-24,0.034807641978539694,0.02632825116784182
2014-06-25,0.0025290844714214167,0.012859351082556904
2014-06-26,-0.04894046417759834,0.009056034847988784
2014-06-27,-0.04894046417759834,0.009056034847988784
2014-06-28,-0.04894046417759834,0.009056034847988784
2014-06-29,-0.037135278514588865,0.02678337480590286
2014-06-30,0.04876033057851248,0.021176340229161223
2014-07-01,0.04885736800630425,0.00966934420862265
2014-07-02,0.04683195592286493,0.040404073019131195
2014-07-03,0.031100478468899517,0.04077324991689609
2014-07-04,0.031100478468899517,0.04077324991689609
2014-07-05,0.031100478468899517,0.04077324991689609
